,gender,n_credits
1757,Male,0
1758,Male,0
1759,Male,0
1760,Male,0
1761,Male,97
1762,Male,27
1763,Male,76
1764,Male,37
1765,Male,53
1766,Male,12
1767,Male,16
1768,Male,4
1769,Male,97
1770,Male,127
1771,Female,52
1772,Male,0
1773,Male,0
1774,Female,51
1775,Female,49
1776,Male,1
1777,Male,0
1778,Male,0
1779,Male,2
1780,Female,1
1781,Male,0
1782,Male,0
1783,Male,14
1784,Male,5
1785,Male,4
1786,Male,63
1787,Female,43
1788,Male,89
1789,Male,65
1790,Male,40
1791,Male,1
1792,Male,0
1793,Male,0
1794,Female,0
1795,Male,0
1796,Male,195
1797,Male,136
